"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L17355","serialVersionUID","hudson.AbortException.serialVersionUID;J","L1792","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\AbortException.java","48","5","48","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17450","saveable","hudson.BulkChange.saveable;Lhudson/model/Saveable;","L17448","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\BulkChange.java","72","5","72","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17451","allocator","hudson.BulkChange.allocator;Ljava/lang/Exception;","L17448","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\BulkChange.java","73","5","73","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17452","parent","hudson.BulkChange.parent;Lhudson/BulkChange;","L17448","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\BulkChange.java","74","5","74","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17455","completed","hudson.BulkChange.completed;Z","L17448","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\BulkChange.java","76","5","76","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17463","INSCOPE","hudson.BulkChange.INSCOPE;Ljava/lang/ThreadLocal;","L17448","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\BulkChange.java","135","5","135","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17483","ALL","hudson.BulkChange.ALL;Lhudson/model/Saveable;","L17448","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\BulkChange.java","163","5","164","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17491","LOGGER","hudson.ClassicPluginStrategy.LOGGER;Ljava/util/logging/Logger;","L17487","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\ClassicPluginStrategy.java","81","5","81","98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17494","JAR_FILTER","hudson.ClassicPluginStrategy.JAR_FILTER;Ljava/io/FilenameFilter;","L17487","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\ClassicPluginStrategy.java","86","5","86","91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17502","pluginManager","hudson.ClassicPluginStrategy.pluginManager;Lhudson/PluginManager;","L17487","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\ClassicPluginStrategy.java","88","5","88","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17503","coreClassLoader","hudson.ClassicPluginStrategy.coreClassLoader;Lhudson/util/MaskingClassLoader;","L17487","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\ClassicPluginStrategy.java","93","5","93","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17600","useAntClassLoader","hudson.ClassicPluginStrategy.useAntClassLoader;Z","L17487","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\ClassicPluginStrategy.java","719","5","720","159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18750","LOGGER","hudson.DependencyRunner.LOGGER;Ljava/util/logging/Logger;","L18748","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\DependencyRunner.java","44","5","44","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18753","runnable","hudson.DependencyRunner.runnable;Lhudson/DependencyRunner$ProjectRunnable;","L18748","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\DependencyRunner.java","46","5","46","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18757","polledProjects","hudson.DependencyRunner.polledProjects;Ljava/util/List;","L18748","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\DependencyRunner.java","48","5","48","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18829","describableType","hudson.DescriptorExtensionList.describableType;Ljava/lang/Class;","L17939","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\DescriptorExtensionList.java","96","5","96","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18917","legacyDescriptors","hudson.DescriptorExtensionList.legacyDescriptors;Ljava/util/Map;","L17939","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\DescriptorExtensionList.java","242","5","243","137","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18887","LOGGER","hudson.DescriptorExtensionList.LOGGER;Ljava/util/logging/Logger;","L17939","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\DescriptorExtensionList.java","281","5","281","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L19618","disabled","hudson.DNSMultiCast.disabled;Z","L19615","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\DNSMultiCast.java","13","5","13","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L19620","serialVersionUID","hudson.EnvVars.serialVersionUID;J","L4573","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\EnvVars.java","76","5","76","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L19621","LOGGER","hudson.EnvVars.LOGGER;Ljava/util/logging/Logger;","L4573","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\EnvVars.java","77","5","77","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L19622","platform","hudson.EnvVars.platform;Lhudson/Platform;","L4573","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\EnvVars.java","87","5","87","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8193","masterEnvVars","hudson.EnvVars.masterEnvVars;Ljava/util/Map;","L4573","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\EnvVars.java","462","5","462","74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L19808","CURRENT_CONTEXT","hudson.ExpressionFactory2.CURRENT_CONTEXT;Ljava/lang/ThreadLocal;","L19787","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\ExpressionFactory2.java","187","5","187","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L19871","LOG","hudson.ExtensionComponent.LOG;Ljava/util/logging/Logger;","L2880","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\hudson\ExtensionComponent.java","43","5","43","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
