"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L71306","NewViewLink","jenkins.model.NewViewLink","L67418","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\jenkins\model\NewViewLink.java","15","1","67","2","0","0","0","0","0","0","0","0","1","1","1","2","7","2","3","2","3","0","0.0588235","1","0","0","2","0.0697674","3","2","2","0","0","1","16","20","2","0","2","0","1","1","1","0","3","4","1","3","0","40","53","3","3","3","3","6","1","4","0","8","11","1","6","0","0","0","20","0","1","0","0","0","0","0","0","0","0","0","1","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"L71328","NodeListener","jenkins.model.NodeListener","L67418","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\jenkins\model\NodeListener.java","41","1","94","2","0","0","0","0","0","0","0","0","7","0","0","7","4","3","6","2","9","1","0.653846","34","34","5","0","0.653846","34","1","1","1","1","1","18","54","1","0","1","0","7","0","4","0","7","4","0","4","0","18","54","1","0","1","0","7","0","4","0","7","4","0","4","0","0","0","1","3","3","0","0","0","0","3","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L68398","Nodes","jenkins.model.Nodes","L67418","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\jenkins\model\Nodes.java","63","1","378","2","0","0","0","0","0","0","0","0","1","4","4","36","11","10","10","20","33","0.909091","0.398406","100","89","10","1","0.332237","101","1","1","0","0","1","151","264","4","3","3","3","13","0","10","1","14","79","1","10","1","203","316","4","3","3","3","19","0","16","1","20","109","1","16","1","0","0","42","3","2","0","0","0","0","0","0","2","0","1","4","0","37","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0"
"L36669","OptionalJobProperty<J extends Job<?, ?>>","jenkins.model.OptionalJobProperty","L67418","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\jenkins\model\OptionalJobProperty.java","39","1","61","2","0","0","0","0","0","0","0","0","0","0","0","1","3","7","0","1","2","0.5","0.5","6","6","1","1","0.272727","6","3","5","4","4","1","6","9","3","9","0","1","1","0","1","0","13","1","2","12","1","16","23","10","38","0","1","4","0","2","0","79","3","4","58","1","0","0","21","0","1","0","0","0","0","0","0","0","0","0","0","0","12","1","0","0","0","0","0","0","0","0","0","0","0","0","9","0"
"L1817","ParameterizedJobMixIn<JobT extends Job<JobT, RunT> $ ParameterizedJob<JobT, RunT> $ Task, RunT extends Run<JobT, RunT> $ Executable>","jenkins.model.ParameterizedJobMixIn","L67418","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\jenkins\model\ParameterizedJobMixIn.java","93","1","525","2","0","0","0","0","0","0","0","0","1","2","2","44","30","17","14","31","48","1","0.363636","76","68","15","0","0.356962","141","0","0","2","2","0","133","230","1","4","1","4","17","1","14","0","17","68","1","14","0","254","433","13","52","1","9","41","1","36","1","126","115","13","116","1","0","0","76","1","8","1","0","1","0","7","0","0","0","3","0","0","49","0","0","1","0","1","0","0","0","0","0","0","0","0","23","0"
"L36951","PeepholePermalink","jenkins.model.PeepholePermalink","L67418","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\jenkins\model\PeepholePermalink.java","61","1","245","2","0","0","0","0","0","0","0","0","1","3","3","23","4","8","3","11","20","0.75","0.358824","61","56","3","1","0.330049","67","1","1","6","6","1","109","151","11","3","3","1","9","0","3","0","11","56","8","5","0","136","185","13","3","3","1","11","0","5","0","29","69","10","21","1","0","0","27","0","8","0","0","4","0","4","1","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"L33980","ProjectNamingStrategy","jenkins.model.ProjectNamingStrategy","L67418","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\jenkins\model\ProjectNamingStrategy.java","50","1","212","2","0","0","0","0","0","0","0","0","3","0","0","4","7","12","5","3","7","0.6","0.605263","23","22","3","2","0.273381","38","1","2","2","2","2","15","48","1","1","1","1","4","1","4","0","4","3","1","4","0","101","163","14","93","7","7","18","2","17","0","197","25","4","148","0","0","0","72","1","5","0","0","0","0","3","2","0","0","0","2","0","41","1","0","0","0","1","0","0","0","0","0","0","0","0","28","0"
"L71832","RenameAction","jenkins.model.RenameAction","L67418","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\jenkins\model\RenameAction.java","35","1","70","2","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0","0","3","0","0","0","0","0","4","0","0","2","2","0","0","1","15","19","0","3","0","3","3","0","3","0","3","3","0","3","0","30","36","1","3","0","3","5","0","5","0","7","7","0","7","0","0","0","17","0","0","0","0","0","0","0","1","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L33535","RunIdMigrator","jenkins.model.RunIdMigrator","L67418","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\jenkins\model\RunIdMigrator.java","80","1","448","2","0","0","0","0","0","0","0","0","1","4","3","60","3","5","15","8","22","0.857143","0.184049","60","50","6","1","0.178977","63","0","0","0","0","0","266","342","9","1","9","1","14","0","6","0","14","167","0","6","0","289","369","9","6","9","6","19","0","11","0","19","173","0","11","0","0","5","36","14","17","1","0","13","0","7","0","1","0","0","9","0","32","1","0","3","0","0","0","0","3","0","0","0","0","0","3","0"
"L71931","SimpleGlobalBuildDiscarderStrategy","jenkins.model.SimpleGlobalBuildDiscarderStrategy","L67418","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\jenkins\model\SimpleGlobalBuildDiscarderStrategy.java","39","1","74","2","0","0","0","0","0","0","0","0","2","1","1","5","3","1","2","1","5","0.2","0.125","3","3","1","4","0.0909091","3","3","4","0","0","1","21","27","2","2","1","1","4","0","4","0","7","5","0","7","0","30","36","9","31","1","2","5","0","5","0","66","6","2","50","0","0","0","23","0","1","0","0","0","0","0","1","0","0","0","1","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0"
"L23228","SimplePageDecorator","jenkins.model.SimplePageDecorator","L67418","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\jenkins\model\SimplePageDecorator.java","40","1","79","2","0","0","0","0","0","0","0","0","1","0","0","6","4","2","2","4","9","0.8","0.547619","23","23","4","1","0.547619","23","2","5","1","1","3","19","40","7","30","0","2","5","0","4","0","62","6","2","45","0","19","40","7","30","0","2","5","0","4","0","62","6","2","45","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0","5","0"
"L39741","StandardArtifactManager","jenkins.model.StandardArtifactManager","L67418","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\jenkins\model\StandardArtifactManager.java","49","1","96","2","0","0","0","0","0","0","0","0","1","1","1","7","10","2","2","7","13","0.166667","0.136364","6","5","1","5","0.136364","6","1","1","0","0","1","38","48","3","1","3","1","6","1","5","0","6","14","1","5","0","38","48","3","1","3","1","6","1","5","0","6","14","1","5","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"L28140","TransientActionFactory<T extends Object>","jenkins.model.TransientActionFactory","L67418","L103","C:\Users\marga\Downloads\jenkins-jenkins-2.340\core\src\main\java\jenkins\model\TransientActionFactory.java","51","1","138","2","0","0","0","0","0","0","0","0","2","0","0","4","4","12","4","3","7","0.8","0.673913","31","29","4","1","0.367816","32","1","1","8","8","1","15","45","1","0","1","0","4","0","4","0","4","2","0","4","0","55","88","3","0","3","0","10","0","9","0","10","16","0","9","0","0","0","28","0","0","0","0","0","0","0","1","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
